order_id,customer_id,order_date,order_status
1,96,2025-08-10,Delivered
2,15,2025-06-20,Delivered
3,13,2025-06-09,Delivered
4,86,2025-10-11,Cancelled
5,45,2025-03-03,Delivered
6,6,2025-10-11,Delivered
7,44,2025-12-06,Cancelled
8,75,2025-05-08,Delivered
9,92,2025-08-19,Cancelled
10,1,2025-10-10,Delivered
11,77,2025-08-21,Delivered
12,70,2025-05-17,Delivered
13,97,2025-11-03,Delivered
14,24,2025-11-11,Delivered
15,96,2025-08-21,Delivered
16,62,2025-02-21,Delivered
17,39,2025-04-23,Delivered
18,56,2025-03-22,Delivered
19,2,2025-05-10,Delivered
20,87,2025-08-12,Cancelled
21,19,2025-05-06,Delivered
22,44,2025-08-06,Returned
23,32,2025-09-04,Delivered
24,75,2025-07-03,Delivered
25,38,2025-10-07,Delivered
26,98,2025-07-17,Delivered
27,16,2025-04-07,Delivered
28,59,2025-11-22,Delivered
29,3,2025-05-28,Delivered
30,36,2025-12-12,Delivered
31,19,2025-05-28,Delivered
32,52,2025-05-08,Delivered
33,1,2025-09-24,Delivered
34,89,2025-05-31,Delivered
35,42,2025-04-09,Delivered
36,16,2025-12-12,Returned
37,60,2025-01-02,Returned
38,12,2025-02-06,Cancelled
39,9,2025-08-21,Delivered
40,48,2025-07-27,Cancelled
41,24,2025-02-23,Delivered
42,24,2025-04-26,Delivered
43,72,2025-04-14,Delivered
44,99,2025-04-22,Delivered
45,99,2025-06-02,Delivered
46,82,2025-07-13,Delivered
47,80,2025-06-18,Delivered
48,68,2025-10-16,Delivered
49,48,2025-05-15,Delivered
50,33,2025-06-25,Delivered
51,86,2025-01-22,Delivered
52,38,2025-08-18,Delivered
53,54,2025-09-21,Delivered
54,98,2025-10-04,Delivered
55,28,2025-11-13,Delivered
56,4,2025-02-04,Delivered
57,17,2025-06-21,Cancelled
58,93,2025-02-15,Cancelled
59,99,2025-08-21,Returned
60,93,2025-10-29,Returned
61,99,2025-07-07,Delivered
62,63,2025-09-10,Delivered
63,87,2025-06-10,Delivered
64,18,2025-10-08,Delivered
65,54,2025-02-27,Cancelled
66,46,2025-10-07,Delivered
67,47,2025-12-08,Delivered
68,27,2025-09-30,Delivered
69,9,2025-10-26,Delivered
70,39,2025-06-19,Delivered
71,99,2025-11-02,Delivered
72,13,2025-11-12,Delivered
73,57,2025-02-05,Delivered
74,65,2025-09-21,Delivered
75,16,2025-05-22,Cancelled
76,87,2025-05-23,Delivered
77,66,2025-10-15,Delivered
78,86,2025-02-20,Delivered
79,63,2025-07-09,Delivered
80,58,2025-02-27,Delivered
81,52,2025-06-19,Delivered
82,54,2025-04-11,Delivered
83,53,2025-03-01,Delivered
84,5,2025-04-13,Delivered
85,96,2025-12-16,Delivered
86,55,2025-11-04,Delivered
87,30,2025-05-27,Delivered
88,63,2025-10-02,Delivered
89,55,2025-12-12,Delivered
90,62,2025-10-06,Delivered
91,12,2025-05-09,Delivered
92,1,2025-08-27,Delivered
93,48,2025-03-30,Delivered
94,1,2025-09-29,Delivered
95,64,2025-03-10,Delivered
96,67,2025-03-17,Delivered
