payment_id,order_id,payment_method,payment_status,payment_date
1,1,Credit Card,Success,2025-08-11
2,2,UPI,Success,2025-06-20
3,3,Credit Card,Success,2025-06-09
4,4,UPI,Refunded,2025-10-12
5,5,Debit Card,Success,2025-03-05
6,6,Credit Card,Success,2025-10-11
7,7,UPI,Failed,2025-12-08
8,8,UPI,Success,2025-05-08
9,9,Credit Card,Failed,2025-08-19
10,10,Credit Card,Success,2025-10-11
11,11,Cash on Delivery,Success,2025-08-23
12,12,Credit Card,Success,2025-05-18
13,13,UPI,Success,2025-11-03
14,14,Net Banking,Success,2025-11-13
15,15,UPI,Success,2025-08-23
16,16,Debit Card,Success,2025-02-21
17,17,UPI,Success,2025-04-24
18,18,Credit Card,Success,2025-03-22
19,19,UPI,Success,2025-05-12
20,20,UPI,Failed,2025-08-14
21,21,UPI,Success,2025-05-07
22,22,Credit Card,Refunded,2025-08-08
23,23,Credit Card,Success,2025-09-05
24,24,UPI,Success,2025-07-05
25,25,Debit Card,Success,2025-10-08
26,26,UPI,Success,2025-07-17
27,27,Credit Card,Success,2025-04-08
28,28,Credit Card,Success,2025-11-22
29,29,UPI,Success,2025-05-28
30,30,UPI,Success,2025-12-13
31,31,Net Banking,Success,2025-05-30
32,32,UPI,Success,2025-05-09
33,33,Credit Card,Success,2025-09-26
34,34,Debit Card,Success,2025-06-01
35,35,Debit Card,Success,2025-04-11
36,36,Credit Card,Refunded,2025-12-14
37,37,UPI,Refunded,2025-01-04
38,38,UPI,Refunded,2025-02-08
39,39,UPI,Success,2025-08-23
40,40,UPI,Refunded,2025-07-29
41,41,UPI,Success,2025-02-25
42,42,Credit Card,Success,2025-04-28
43,43,UPI,Success,2025-04-14
44,44,UPI,Success,2025-04-22
45,45,Debit Card,Success,2025-06-02
46,46,UPI,Success,2025-07-15
47,47,Cash on Delivery,Success,2025-06-20
48,48,Net Banking,Success,2025-10-16
49,49,UPI,Success,2025-05-15
50,50,Net Banking,Success,2025-06-27
51,51,Credit Card,Success,2025-01-22
52,52,Credit Card,Success,2025-08-19
53,53,Credit Card,Success,2025-09-21
54,54,UPI,Success,2025-10-06
55,55,Credit Card,Success,2025-11-13
56,56,Cash on Delivery,Success,2025-02-05
57,57,UPI,Refunded,2025-06-22
58,58,Credit Card,Failed,2025-02-15
59,59,Credit Card,Refunded,2025-08-21
60,60,Net Banking,Refunded,2025-10-31
61,61,Credit Card,Success,2025-07-07
62,62,UPI,Success,2025-09-10
63,63,UPI,Success,2025-06-12
64,64,Credit Card,Success,2025-10-09
65,65,Debit Card,Refunded,2025-02-28
66,66,Credit Card,Success,2025-10-07
67,67,Credit Card,Success,2025-12-09
68,68,UPI,Success,2025-09-30
69,69,Credit Card,Success,2025-10-28
70,70,Debit Card,Success,2025-06-19
71,71,Debit Card,Success,2025-11-02
72,72,Net Banking,Success,2025-11-14
73,73,Net Banking,Success,2025-02-07
74,74,UPI,Success,2025-09-22
75,75,Debit Card,Failed,2025-05-23
76,76,UPI,Success,2025-05-23
77,77,UPI,Success,2025-10-15
78,78,Net Banking,Success,2025-02-20
79,79,Debit Card,Success,2025-07-10
80,80,Cash on Delivery,Success,2025-02-27
81,81,UPI,Success,2025-06-20
82,82,UPI,Success,2025-04-11
83,83,Credit Card,Success,2025-03-02
84,84,Net Banking,Success,2025-04-13
85,85,Cash on Delivery,Success,2025-12-16
86,86,Credit Card,Success,2025-11-06
87,87,Debit Card,Success,2025-05-28
88,88,Net Banking,Success,2025-10-03
89,89,UPI,Success,2025-12-13
90,90,Debit Card,Success,2025-10-08
91,91,Debit Card,Success,2025-05-10
92,92,Credit Card,Success,2025-08-28
93,93,UPI,Success,2025-04-01
94,94,Debit Card,Success,2025-09-30
95,95,Credit Card,Success,2025-03-10
96,96,Credit Card,Success,2025-03-19
97,97,Credit Card,Success,2025-03-27
98,98,UPI,Success,2025-08-10
99,99,Credit Card,Refunded,2025-08-26
100,100,Debit Card,Success,2025-07-24
101,101,Net Banking,Success,2025-12-07
102,102,UPI,Success,2025-09-12
103,103,Debit Card,Success,2025-09-08
104,104,Debit Card,Success,2025-04-10
105,105,UPI,Refunded,2025-09-08
106,106,Cash on Delivery,Success,2025-09-16
107,107,UPI,Success,2025-01-17
108,108,Credit Card,Refunded,2025-06-09
109,109,Debit Card,Success,2025-06-27
110,110,Debit Card,Success,2025-06-30
111,111,Credit Card,Success,2025-11-20
112,112,Credit Card,Success,2025-11-27
113,113,Debit Card,Success,2025-01-14
114,114,Debit Card,Success,2025-09-12
115,115,Credit Card,Success,2025-08-05
116,116,Cash on Delivery,Success,2025-04-03
117,117,Net Banking,Success,2025-04-26
118,118,UPI,Success,2025-11-11
119,119,Debit Card,Success,2025-08-06
120,120,UPI,Success,2025-12-23
121,121,Credit Card,Refunded,2025-08-17
122,122,Debit Card,Success,2025-04-08
